none_train,none_val,reg_train,reg_val
0.8625374436378479,0.9012554883956909,0.9331963062286377,0.966234564781189
0.5769570469856262,0.62850022315979,0.6548610329627991,0.6994421482086182
0.4378800094127655,0.502988874912262,0.5094726085662842,0.5635216236114502
0.3578791916370392,0.4403477907180786,0.42424702644348145,0.4882239103317261
0.3024151623249054,0.40453752875328064,0.3673000931739807,0.444200724363327
0.26073551177978516,0.37762394547462463,0.32621151208877563,0.4135496914386749
0.22792410850524902,0.3602639138698578,0.29411202669143677,0.393537700176239
0.19963116943836212,0.34756702184677124,0.2667931914329529,0.3787684738636017
0.17595568299293518,0.33548104763031006,0.2432197779417038,0.3669085204601288
0.15688911080360413,0.3258603811264038,0.2246733158826828,0.3578450679779053
0.13944284617900848,0.31737446784973145,0.20741157233715057,0.3509189188480377
0.12502816319465637,0.30941158533096313,0.19113028049468994,0.3417262136936188
0.11187294870615005,0.3043830394744873,0.17762671411037445,0.33483022451400757
0.10023793578147888,0.30122169852256775,0.16477258503437042,0.3295678496360779
0.09012831747531891,0.2951451539993286,0.15359467267990112,0.3231486678123474
0.08164708316326141,0.2884146571159363,0.14315293729305267,0.31609755754470825
0.0742584764957428,0.2861437201499939,0.13369204103946686,0.3121907413005829
0.0669250413775444,0.2877194285392761,0.12533773481845856,0.3116926848888397
0.060769885778427124,0.2833822965621948,0.11684376001358032,0.30593767762184143
0.055481936782598495,0.2802751362323761,0.10943946987390518,0.30039194226264954
0.05073194578289986,0.2786814272403717,0.10273835062980652,0.2967742383480072
0.0464392825961113,0.27654385566711426,0.09645648300647736,0.29366257786750793
0.042886536568403244,0.2772889733314514,0.09114069491624832,0.29262733459472656
0.039660993963479996,0.2761227488517761,0.08600975573062897,0.29138991236686707
0.03683844208717346,0.2736264169216156,0.08136811852455139,0.28690171241760254
0.03444778919219971,0.27487921714782715,0.07736923545598984,0.28644856810569763
0.032008878886699677,0.27515706419944763,0.07327152788639069,0.28507915139198303
0.02976154163479805,0.27372482419013977,0.06951361149549484,0.2842312753200531
