q,seed,ari_comm,eta2_deg
0.5,0,0.6852361983551418,0.3443975012307886
0.5,1,0.6594548238897396,0.29750077369395306
0.5,2,0.7339087372941959,0.23781025074979947
0.5,3,0.6725819360080567,0.19016041100305342
0.5,4,0.749705648561733,0.3088544016026975
0.5,5,0.7260929738977456,0.19519463890114602
0.5,6,0.8131965052079023,0.28953007639286243
0.5,7,0.6803559503989001,0.2761262383740783
0.5,8,0.6281327263129908,0.20988834066502027
0.5,9,0.7043939885018511,0.27612671954978535
2.0,0,0.6620820703071981,0.2179766537931914
2.0,1,0.7146029361103386,0.21295862472857605
2.0,2,0.7180881271281566,0.3152963326413549
2.0,3,0.9039357921967719,0.28307753347119513
2.0,4,0.6304225201837979,0.23006205998078014
2.0,5,0.7260929738977456,0.19519463890114602
2.0,6,0.7396607368652927,0.3181677152682034
2.0,7,0.6581486975172347,0.20924672889082369
2.0,8,0.6973232091980052,0.21600996999110247
2.0,9,0.6581486975172347,0.20924672889082369
