labels,k,frac,seed,model,n_train,bacc
세포유형,15,0.05,4,레이블 전파 (그래프만),133,0.889759599431063
세포유형,15,0.05,4,GCN (PCA + 그래프),133,0.9713552365747586
세포유형,15,0.2,0,로지스틱 회귀 (PCA만),527,0.9121499802183136
세포유형,15,0.2,0,레이블 전파 (그래프만),527,0.920896008417001
세포유형,15,0.2,0,GCN (PCA + 그래프),527,0.9668870849309652
세포유형,15,0.2,1,로지스틱 회귀 (PCA만),527,0.8709478807961798
세포유형,15,0.2,1,레이블 전파 (그래프만),527,0.8984461166369229
세포유형,15,0.2,1,GCN (PCA + 그래프),527,0.950562937543736
세포유형,15,0.2,2,로지스틱 회귀 (PCA만),527,0.8767890653249635
세포유형,15,0.2,2,레이블 전파 (그래프만),527,0.9103540827444162
세포유형,15,0.2,2,GCN (PCA + 그래프),527,0.9535415163271248
세포유형,15,0.2,3,로지스틱 회귀 (PCA만),527,0.8760294089286258
세포유형,15,0.2,3,레이블 전파 (그래프만),527,0.9190677319669678
세포유형,15,0.2,3,GCN (PCA + 그래프),527,0.9265221610039486
세포유형,15,0.2,4,로지스틱 회귀 (PCA만),527,0.9041959404675698
세포유형,15,0.2,4,레이블 전파 (그래프만),527,0.909550899847628
세포유형,15,0.2,4,GCN (PCA + 그래프),527,0.9525965327623792
세포유형,50,0.01,0,로지스틱 회귀 (PCA만),28,0.7473385091932516
세포유형,50,0.01,0,레이블 전파 (그래프만),28,0.8304386806709306
세포유형,50,0.01,0,GCN (PCA + 그래프),28,0.9154378207240148
세포유형,50,0.01,1,로지스틱 회귀 (PCA만),28,0.7692776613984389
세포유형,50,0.01,1,레이블 전파 (그래프만),28,0.8725817494440427
세포유형,50,0.01,1,GCN (PCA + 그래프),28,0.9396572638707884
세포유형,50,0.01,2,로지스틱 회귀 (PCA만),28,0.6712526176805447
세포유형,50,0.01,2,레이블 전파 (그래프만),28,0.8109822495899657
세포유형,50,0.01,2,GCN (PCA + 그래프),28,0.8447060607318149
세포유형,50,0.01,3,로지스틱 회귀 (PCA만),28,0.8230030563549386
세포유형,50,0.01,3,레이블 전파 (그래프만),28,0.8899730289227986
세포유형,50,0.01,3,GCN (PCA + 그래프),28,0.9170529136433456
세포유형,50,0.01,4,로지스틱 회귀 (PCA만),28,0.7720212829790709
세포유형,50,0.01,4,레이블 전파 (그래프만),28,0.8500914418470791
세포유형,50,0.01,4,GCN (PCA + 그래프),28,0.8920428785709866
세포유형,50,0.05,0,로지스틱 회귀 (PCA만),133,0.8555838835446927
세포유형,50,0.05,0,레이블 전파 (그래프만),133,0.7480196144977711
세포유형,50,0.05,0,GCN (PCA + 그래프),133,0.9269697409992208
세포유형,50,0.05,1,로지스틱 회귀 (PCA만),133,0.802890574036735
세포유형,50,0.05,1,레이블 전파 (그래프만),133,0.7737614183143933
세포유형,50,0.05,1,GCN (PCA + 그래프),133,0.9485386878487632
세포유형,50,0.05,2,로지스틱 회귀 (PCA만),133,0.8346314144751644
세포유형,50,0.05,2,레이블 전파 (그래프만),133,0.83907592523761
세포유형,50,0.05,2,GCN (PCA + 그래프),133,0.8249392508563704
세포유형,50,0.05,3,로지스틱 회귀 (PCA만),133,0.8184465937608445
세포유형,50,0.05,3,레이블 전파 (그래프만),133,0.759585302914193
세포유형,50,0.05,3,GCN (PCA + 그래프),133,0.9044910373222026
세포유형,50,0.05,4,로지스틱 회귀 (PCA만),133,0.8777951403162979
세포유형,50,0.05,4,레이블 전파 (그래프만),133,0.7574209791795959
세포유형,50,0.05,4,GCN (PCA + 그래프),133,0.9511266659729751
세포유형,50,0.2,0,로지스틱 회귀 (PCA만),527,0.9121499802183137
세포유형,50,0.2,0,레이블 전파 (그래프만),527,0.7437898892449725
세포유형,50,0.2,0,GCN (PCA + 그래프),527,0.9604186987446592
세포유형,50,0.2,1,로지스틱 회귀 (PCA만),527,0.8709478807961798
세포유형,50,0.2,1,레이블 전파 (그래프만),527,0.745689378518204
세포유형,50,0.2,1,GCN (PCA + 그래프),527,0.9452236375112896
세포유형,50,0.2,2,로지스틱 회귀 (PCA만),527,0.8767890653249635
세포유형,50,0.2,2,레이블 전파 (그래프만),527,0.74689201741859
세포유형,50,0.2,2,GCN (PCA + 그래프),527,0.9221004386232383
세포유형,50,0.2,3,로지스틱 회귀 (PCA만),527,0.8760294089286258
세포유형,50,0.2,3,레이블 전파 (그래프만),527,0.7555331546610904
세포유형,50,0.2,3,GCN (PCA + 그래프),527,0.9415105923292508
세포유형,50,0.2,4,로지스틱 회귀 (PCA만),527,0.9041959404675698
세포유형,50,0.2,4,레이블 전파 (그래프만),527,0.7623282457213225
세포유형,50,0.2,4,GCN (PCA + 그래프),527,0.9390166429436538
그래프 라벨,15,0.01,0,로지스틱 회귀 (PCA만),28,0.8297218061102751
그래프 라벨,15,0.01,0,레이블 전파 (그래프만),28,0.9372697105919482
그래프 라벨,15,0.01,0,GCN (PCA + 그래프),28,0.9554109995659147
그래프 라벨,15,0.01,1,로지스틱 회귀 (PCA만),28,0.860987030960627
그래프 라벨,15,0.01,1,레이블 전파 (그래프만),28,0.9222445783631669
그래프 라벨,15,0.01,1,GCN (PCA + 그래프),28,0.9627260538899981
그래프 라벨,15,0.01,2,로지스틱 회귀 (PCA만),28,0.8176160970513119
그래프 라벨,15,0.01,2,레이블 전파 (그래프만),28,0.9107155898768938
그래프 라벨,15,0.01,2,GCN (PCA + 그래프),28,0.9532619592688022
그래프 라벨,15,0.01,3,로지스틱 회귀 (PCA만),28,0.7711750616448388
그래프 라벨,15,0.01,3,레이블 전파 (그래프만),28,0.903708093956172
그래프 라벨,15,0.01,3,GCN (PCA + 그래프),28,0.9714511978768879
그래프 라벨,15,0.01,4,로지스틱 회귀 (PCA만),28,0.7806681083769181
그래프 라벨,15,0.01,4,레이블 전파 (그래프만),28,0.9321794644933784
그래프 라벨,15,0.01,4,GCN (PCA + 그래프),28,0.9643172246447346
그래프 라벨,15,0.05,0,로지스틱 회귀 (PCA만),132,0.8140870094293491
그래프 라벨,15,0.05,0,레이블 전파 (그래프만),132,0.8823486164110275
그래프 라벨,15,0.05,0,GCN (PCA + 그래프),132,0.9549083846900491
그래프 라벨,15,0.05,1,로지스틱 회귀 (PCA만),132,0.8154934736753502
그래프 라벨,15,0.05,1,레이블 전파 (그래프만),132,0.8772456293820129
그래프 라벨,15,0.05,1,GCN (PCA + 그래프),132,0.9528464778188686
그래프 라벨,15,0.05,2,로지스틱 회귀 (PCA만),132,0.8166484183075321
그래프 라벨,15,0.05,2,레이블 전파 (그래프만),132,0.9220184931385732
그래프 라벨,15,0.05,2,GCN (PCA + 그래프),132,0.9538203655043933
그래프 라벨,15,0.05,3,로지스틱 회귀 (PCA만),132,0.8095183995762675
그래프 라벨,15,0.05,3,레이블 전파 (그래프만),132,0.9139656555928884
그래프 라벨,15,0.05,3,GCN (PCA + 그래프),132,0.9756060839225431
그래프 라벨,15,0.05,4,로지스틱 회귀 (PCA만),132,0.7962305229280843
그래프 라벨,15,0.05,4,레이블 전파 (그래프만),132,0.8940367313358547
그래프 라벨,15,0.05,4,GCN (PCA + 그래프),132,0.9692476940643154
그래프 라벨,15,0.2,0,로지스틱 회귀 (PCA만),527,0.9279251368973367
그래프 라벨,15,0.2,0,레이블 전파 (그래프만),527,0.956126804353915
그래프 라벨,15,0.2,0,GCN (PCA + 그래프),527,0.9236542726315916
그래프 라벨,15,0.2,1,로지스틱 회귀 (PCA만),527,0.9445752832010325
그래프 라벨,15,0.2,1,레이블 전파 (그래프만),527,0.9245798273265295
그래프 라벨,15,0.2,1,GCN (PCA + 그래프),527,0.9804975401527721
그래프 라벨,15,0.2,2,로지스틱 회귀 (PCA만),527,0.9398106680842956
그래프 라벨,15,0.2,2,레이블 전파 (그래프만),527,0.9342725841559826
그래프 라벨,15,0.2,2,GCN (PCA + 그래프),527,0.9817037855457206
그래프 라벨,15,0.2,3,로지스틱 회귀 (PCA만),527,0.9561205961912043
그래프 라벨,15,0.2,3,레이블 전파 (그래프만),527,0.9527274281101473
그래프 라벨,15,0.2,3,GCN (PCA + 그래프),527,0.9797427977957529
그래프 라벨,15,0.2,4,로지스틱 회귀 (PCA만),527,0.9535618936388759
그래프 라벨,15,0.2,4,레이블 전파 (그래프만),527,0.955086380369209
그래프 라벨,15,0.2,4,GCN (PCA + 그래프),527,0.992928211269431
