K,dist,acc
0,0.944241464138031,0.605
1,0.8615444898605347,0.772
2,0.7789027094841003,0.805
4,0.6775803565979004,0.814
8,0.5500819683074951,0.803
16,0.41009700298309326,0.771
32,0.28448551893234253,0.712
64,0.19457608461380005,0.549
